pool_size,top_k,system,redundancy_all,redundancy_pros,redundancy_cons,conflict_density,conflict_count,n_policies
20,5,Baseline A,0.7525526901086171,0.7967997868855794,0.7562110364437103,0.7264456913375131,18.133333333333333,30
20,5,Baseline B,0.48477437496185305,0.5020941178003947,0.49568832218647,0.35837012899612686,8.933333333333334,30
20,5,System A,0.46725059250990547,0.471820667386055,0.46576196352640786,0.3577834955411902,8.866666666666667,30
20,5,System B,0.7509422858556112,0.7630023539066315,0.7647524654865265,0.8970700259806764,22.466666666666665,30
20,10,Baseline A,0.6758461356163025,0.7085620502630869,0.6911743064721425,0.5195379705821218,51.93333333333333,30
20,10,Baseline B,0.50165047844251,0.5116690884033839,0.5203099101781845,0.3905126037061508,39.06666666666667,30
20,10,System A,0.49040246605873106,0.5085506836573283,0.49675194919109344,0.3554557273221316,35.43333333333333,30
20,10,System B,0.7035742898782095,0.7097912470499674,0.7251409550507864,0.8146689092822665,81.7,30
20,15,Baseline A,0.571325475970904,0.6034371594587962,0.5814912696679433,0.42926889576960375,96.33333333333333,30
20,15,Baseline B,0.49135273198286694,0.515773868560791,0.49762760400772094,0.3644661187532865,81.5,30
20,15,System A,0.5080198884010315,0.528407660126686,0.5204210172096888,0.36786405374005327,82.43333333333334,30
20,15,System B,0.6388403356075287,0.6592201511065165,0.6429895520210266,0.7097278909137489,160.1,30
20,20,Baseline A,0.49196601907412213,0.511703168352445,0.5031858255465825,0.3673874321515321,146.43333333333334,30
20,20,Baseline B,0.49196602404117584,0.5117031693458557,0.5031858225663502,0.3673874338052324,146.43333333333334,30
20,20,System A,0.4919660210609436,0.5117031713326772,0.5031858166058858,0.3673874327157573,146.43333333333334,30
20,20,System B,0.5979839434226354,0.6193788866202037,0.5988205979267757,0.6281579357736241,251.43333333333334,30
50,5,Baseline A,0.8246216197808584,0.8545834501584371,0.8333021521568298,0.9349368051650042,23.4,30
50,5,Baseline B,0.48591375549634297,0.4923578490813573,0.5127562334140142,0.36456521015677573,9.066666666666666,30
50,5,System A,0.46224888861179353,0.4518890152374903,0.45954803824424745,0.3549695458674638,8.866666666666667,30
50,5,System B,0.7538850923379262,0.7588669608036677,0.7716264625390371,0.9024948587147618,22.633333333333333,30
50,10,Baseline A,0.7736181418100992,0.8014379282792409,0.7809669276078542,0.775630525149088,77.53333333333333,30
50,10,Baseline B,0.47277912894884744,0.4860341896613439,0.490038655201594,0.35843475752323894,35.766666666666666,30
50,10,System A,0.4836766541004181,0.4907177408536275,0.4936138133207957,0.3408270034859283,33.8,30
