top_k,system,coverage,balance_distortion,conciseness,inter_system_divergence
5,Baseline A,0.07333333333333333,0.19499999999999998,4.224547889038518,0.08655173182487488
5,Baseline B,0.043333333333333335,0.10333333333333333,4.803727708899528,0.08655173182487488
5,System A,0.06333333333333334,0.12555555555555556,4.718194752879862,0.08655173182487488
5,System B,0.04,0.07222222222222222,4.7610249664723705,0.08655173182487488
5,System C,0.05000000000000001,0.08888888888888888,4.747416430418194,0.08655173182487488
10,Baseline A,0.04833333333333333,0.15518518518518518,4.304275378587693,0.07234683235486349
10,Baseline B,0.035,0.19333333333333333,4.465727040781084,0.07234683235486349
10,System A,0.03500000000000001,0.18666666666666665,4.357424610289755,0.07234683235486349
10,System B,0.023333333333333334,0.15555555555555556,4.320695024240399,0.07234683235486349
10,System C,0.025000000000000005,0.17222222222222222,4.21797088989862,0.07234683235486349
15,Baseline A,0.04,0.11126743626743626,4.7966592777414245,0.06804091533025106
15,Baseline B,0.04555555555555556,0.20304232804232802,4.2722433824807045,0.06804091533025106
15,System A,0.030000000000000002,0.18333333333333332,4.365985155563516,0.06804091533025106
15,System B,0.0044444444444444444,0.05,4.148692985890028,0.06804091533025106
15,System C,0.0033333333333333335,0.03333333333333333,4.054311375468773,0.06804091533025106
20,Baseline A,0.03666666666666667,0.21,4.230597350806075,0.06415601372718811
20,Baseline B,0.03333333333333333,0.18222222222222223,4.243514042286246,0.06415601372718811
20,System A,0.018333333333333337,0.18333333333333332,4.405176573688943,0.06415601372718811
20,System B,0.011666666666666665,0.1388888888888889,4.593395406608955,0.06415601372718811
20,System C,0.012500000000000002,0.15555555555555556,4.395641813906178,0.06415601372718811
30,Baseline A,0.035555555555555556,0.23949494949494948,4.426746166111373,0.061387147506078085
30,Baseline B,0.025000000000000005,0.23055555555555557,4.239249266773094,0.061387147506078085
30,System A,0.020000000000000007,0.22777777777777777,4.316816067008428,0.061387147506078085
30,System B,0.021666666666666664,0.12777777777777777,4.5789271193621115,0.061387147506078085
30,System C,0.017222222222222226,0.08888888888888888,4.567430714583831,0.061387147506078085
